,Gia,Mieu ta,Ngay tao,Tua de
0,20.000.000,"CầnbánHONDAAirBladenguyênbảnnguyênzin100%trởlên,máymóczintừAtớiZ,Muabánnhanhgọnuytín,Giấytờđầyđủ,Chỉtiếpngườicóthiệnchí,biếtđánhgiáthựcchấtcủaxe,Vuilòngliênhệtrước,Trântrọng!,MọingườicầnaloSĐT:0899,247,450gặpaTuấn(zalo),Ngoàirakháchhàngcóthểđổitrảtrongvòng15ngàysửdụnghoặchoàntrả95%giátrịxelạichokháchkhônghàilòng",5ngàytrước,Cần bán Honda Air Blade
1,31.500.000,"-BánxeSH150iđượcnhậpkhẩutừÝ,-Xeđiđượcgiữgìnbảoquảnkỹ,tiếtkiệmnguyênliệunênrấtmớimọingườiyêntâmvềchấtlượngcủaxe,-Bênmìnhcónhậnlàmgiấytờvàbiểnchomọingười,-Cónhậnđặthàngtheonhucầu,-NgoàiracóViber,Facebook,ZalođểAeliênhệ",5ngàytrước,"Honda SH 150i đời 2012 màu xanh, xe mới đẹp"
2,75.000.000,"CầnbánxeHondashadowphantom750phiênbản2015,Xenguyênbảnchínhhãng100%xenguyênzintừAđếnZ,Liênhệsố,(0946,770,479)gặpA,Taitrựctiếpđểđượchỗtrợthêm",2ngàytrước,Tài cần bán Honda Shadow Phantom 750 đời 2015
3,2.800.000,"CầnbánxeDHHonda88,xemáyêm,phuộctốt,máymạnh,chạyvọt,đilàm,đihọctốt,xevềlàđi,BántạinhàquậnTânPhúgiấycửahàng+giấytaybaotranhchấpyêntâmđilại,Xengonvềlàđi,thankscảnhà",13ngàytrước,Honda dh 1988
4,32.000.000,"Sếpem1lầnnữanhờebánđồhộ,Dòngxe:HondaWinner2016đensần,Xedânđi,ekphảidânbuônxe,Giấytờđầyđủ-xechạy1vạn1-đãđộphuộcvàbánhsau-máyêm,đibốc-baothợtestmáymóc,Vìembánhộnênemđăngbánvớigiádaođộngtừ31t-33tcófixchoaenàonhiệttình",16ngàytrước,Cần bán Honda Winner 150Fi 2016
5,30.000.000,"CầnThanhLýCácLoạiXeMáyGiácựcrẻ,Xemới100%Bảohành2nămcóthểhoàngtrảtrong7ngày,Nếuthấykhônghàilòng,Liênhệ:0888,501,408gặpanhPhongĐểĐặthàngĐảmbảo-uytín-chấtlượngXincảmơn,ĐểĐặthàngĐảmbảo-uytín-chấtlượngXincảmơn,ThôngTinKháchHàngkhiMuaXeKếtbạnZaloSdt0888",12ngàytrước,Cần bán Honda Sh150i nhập khẩu giá rẻ
6,150.000,"ChuyêncungcấpđồngphụcxemáychocáchãngHONDA,YAMAHAgiárẻ,Đồngphụcthợsửaxe,Đồngphụcbánhàng,Đồngphụckỹthuậttrưởng,Maythiếtkếchuẩntheoyêucầucáchãngxe,-ĐỒngphụcthợsửaxeYAMAMA,Áongắntayphốimàuđen-đỏhoặctrắngđenvảikakithoángmát,thấmhútmồhôi",18ngàytrước,"Quần áo đồng phục sửa xe Honda, Yamaha giá rẻ"
7,135.000.000,"PhanhABS–02chìaHISS,Xemàutrắng,ítsửdụng(Odo~2,5v),bảodưỡng,thaydầuMotul300Vđúngđịnhkỳ(3,000km/lần),Xezinnguyênbản,chấtlượng&hìnhthứccònmới,Giábán:135tr-GTHL,Muabántạinhàngoàigiờhànhchính",25ngàytrước,Cần bán xe máy PKL-Honda CB1100 Japan Date 2013
8,150.000,"Côngtyhiệntạichuyêncungcấpquầnáosửaxemáycáchãng,YAMAHA,HoNDA,PIAGO,SYM,Cácđồngphụcsửaxemáy,đồngphucbánhàng,Tổtrưởng,GiàyBảohộ,,vv,vớigiátốtnhấttrênthịtrường,Sảnphẩmđượcmayvớichấtliệuvảicottton65/35tạochongườisửdụngcảmgiácthoángmát,thấmhútmồhôivàđặcbiệtmàusắccủachấtliệuvảiluônbềnvớithờigian",13ngàytrước,"Sản xuất đồng phục sửa xe máy yahama, honda giá rẻ"
9,11.000.000,"CầnbánxeDreamIITháiLan,xevẫndùngđilàmhằngngày,đổxănglàchạyliền,BiểnsốHàNội,muabántạinhà,Đc:313NguyễnVănCông,GòVấp,Giá:11trcóbớtchút,Xemxengoàigiờhànhchính,Liênhệ:0962580353hoặc0916130721giùm,Xincámơn!",3thángtrước,Honda Dream II
10,48.500.000,"HONDACB400ssdate2005Xezin100/100từđầuđếnđítChấtxekhỏichê,mạnhvàbốcbaotesttạichỗ69tiếng,Giáquámềm49trcófixchoaenhanhgọnlẹSdt0937895900Xemxequận12orláithiêu,BìnhdươngGTHLkhôngsangtên",8thángtrước,Honda CB40SS date 2005
11,8.000.000,"HondaCub78,cònrấtmới, Sơnsữachoconđihọc!Nayđãlớnđilàm,nênbán,muaxemới!tìnhtrangxeổndịnh,íthaoxăng,Nòngzincoss4,AEnàocóconđihọccấp3muachoconđi,đỡhaoxăng,khôngcầnbằnglái,aicónhucầuliênhệnha",7thángtrước,"Honda Cub 78, còn rất mới"
12,10.990.000,"-Xemìnhmáycònrấtem,chưabungmáy,cônzin5sốrấtnhậy,-Điện,đèn,còi,xinhannghiêmchỉnh,đềnhẹlànổ,-Anhemmuayêntâmvìxenàyrấtnghiêmchỉnh,emnólàtâmhuyếtđểphụcvụchođammêphượtcủabảnthânmình,Lốptrướcvàsaucòngaivìmớithaysautourphượttrước",3thángtrước,Cần bán xe Honda Fortune
13,30.000.000,"HondaCD-125ccđời2000nguyênbảncựcđẹpsơnzinmáyzin100%cựcêm,Giá30trbsoship,liênhệ0121,5555,412Gặpanhvũcózalofb",4thángtrước,Honda CD-125cc đời 2000
14,14.300.000,"ÔnganhđinướcngoàiđểlạichiếcFuture1,Máynổthìthầm,xeêmái,độngcơmạnhmẽ,Dànngoàicònkeng,rớtđầucạokhói1lần,Xebstpkhôngchínhchủ,bángiấytaybaotranhchấptoànquốc,Giá14tr3,LiênhệACường093793698876/33/17LêVănPhan,P,PhúThọHòa,Q,TânPhú",5thángtrước,Honda Future 1 BSTP cần bán
15,25.000.000,"HondaCD125ccđời2002nguyênbảncựcđẹplengkengzin100%,liênhệ0121,5555,412phướcsangcózalo",2thángtrước,Honda CD 125cc đời 2002
16,45.000.000,"CầnbánxeHonda150xenhập,xelêndànáoshý2010đẹphoànhảo,Xehoạtđộngổnđịnhhiệnđangđilàmbìnhthường,xenhàsửdụngkỹ,ĐặcbiệtCavetgốctheoxekhôngcóchữ@chỉghihonda150,Anhemchơixeliênhệmìnhnhé",8thángtrước,Bán Honda lên sh ý 2010
17,10.000.000,"DonhucầukhôngsửdụngnênnhàmìnhcầnbánchiếcSPACYthắngchânmàutrắngsảnxuấttừNhậtBản!!!Địachỉ:75/28/2Đườngsố7,Phường3,QuậnGòVấpCácbạnanhchịemcóthểđếnđịachỉđểchitiếthơnvềxevàgiá10trcóthểthỏathuậnthêmcóxuốnghaykhông",1nămtrước,Honda Spacy
18,22.000.000,,7thángtrước,Cần bán xe Honda Lead 110
19,16.900.000,"MáyravỏxeThươngHiệu:HONDAmodel:SH-125FThôngsốkỹthuật:-Đườngkínhkẹptrong:10""-20""-Đườngkínhkẹpngoài:12""-24""-Đườngkìnhlốplớnnhất:1250mm-Chiềurộngcủalốp:3""-15""-ápxuấtlàmviệc:8-10bar*Máysửdụnghơivàkhínénvớiđiệnáp220Vvàápxuấthơiyêucầulà6tới8kgMáyravỏxeSH-125Flàdòngmáydanăngnhấtcóthểmỡđượcchoxetaygavàxeôtôcon,vàcácxetảinhẹtư2,5Ttrởxuốngvớiđườngkính10""-24"",Bộkẹptựđịnhtâm,xilanhéplốpcôngxuấtlớn",7thángtrước,Máy tháo vỏ xe SH-125F Honda
20,35.000.000,"Hondacúp125ccđời2018hàngthùng-THAILAN-cựcđẹp,Giá35trbaoshipliênhệ0121,5555,412gặpanhsang",3thángtrước,Honda cúp 125cc đời 2018 hàng thùng
21,10.000.000,"Donhucầukhôngsửdụngđến,nêncầnbánewinđãgắnbólâudài,hìnhthứchơicũtheonămtháng,nhưngcônsốngọtngàovìđãlàmlại,đồzintheoxecònkhánhiều,nêncácanhmuaxenàythìkhôngcầnnghỉ,xeđểởnhàkhôngchạyrấtlâurồi,anhemmuavuiolònggọi,xebángiấytờđầyđủ,chỉlàkhông9chủ,nhưngrúthồsơok,đãhỏi",3thángtrước,Win Honda 100 - biển Hà Nội 4 số
22,20.100.000,"XEMÁYĐIỆNHONDA-HÃNGXEĐIỆNBÁNCHẠYSỐ1THẾGIỚI,CHẤTLƯỢNGTUYỆTĐỈNH,ĐỘBỀNTÍNHBẰNGTHẾKỶ,GIÁNGỌTNGÀOJOKER-LướtnhẹkhônggiớihạnBạnđãcảmthấynhàmchánvớinhưngchiếcxeđiệnnhiềungườicóvàmuốnsởhữumộtchiếcxemớivàthờitrangnhất",11thángtrước,Xe Máy Điện JOKER Honda chính hãng
23,9.600.000,"XeHondawavealphatemlửamàuđỏđen,biểnsốthànhphố,xeđangsửdụng,giấytờbảohiểmđầyđủ,Xeđiêmái,bảodưỡngthườngxuyên,Phùhợpchoanhemdùngđihọc,đilàm,naycầnlênđờixeđạpđiệnnênbán, Muabántạinhàở166ThíchQuảngĐức,PhúNhuận,Cófixxăngxe,thaynhớt,bảodưỡng,càphêchoanhemnhiệttình",1nămtrước,Honda wave alpha 2007
24,12.000.000,"BánxeHondaSCRbiểnF9-4số,màuxám,đãđiđược4,9vạn,Giá:12triệu",2nămtrước,Bán xe Honda SCR
25,56.000.000,"Tuổitrẻthìngắn,thếgiớithìrộng,Chínamnhi,ngồimộtchổlàmchi?💗HondaXr150LModel2017(nhậpnguyênchiếc)💰Giátrên50Tr(chưatínhVATvàcáckhoảnphíkhác)☎Call:0982496898👉Showroom5:415Phạmvănđồng,P,linhđông,Q,ThủĐức,Tp,HCM(gầnvòngxoayKhavạncân-phạmvănđồng)❤Hotlinetrảgóp:HàNội:0944081368SàiGòn:0908532018---------------------------------------------------------------------------💰TặngngaygóidịchvụSIÊUHOT🎈2",1nămtrước,Honda Xr150L Model 2017
